"","Study Unit","Reference","Taxa","Method","Study Quality","Bioregion","Country","Latitude","Longitude","Elevation","Forest Type","Canopy Height","Season","Richness","Abundance"
"1","Acharya 2017","Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.","Birds","Human observation",14,"Asia and Oceania","India",27.234167,88.401111,600,"dry forest",30,"Sampling combined","Y","Y"
"2","Acharya 2017 (2)","Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.","Birds","Human observation",14,"Asia and Oceania","India",27.550278,88.634722,1350,"moist_montane_forest",30,"Sampling combined","Y","Y"
"3","Acharya 2017 (3)","Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.","Birds","Human observation",14,"Asia and Oceania","India",27.618611,88.700556,2250,"moist_montane_forest",30,"Sampling combined","Y","Y"
"4","Acharya 2017 (4)","Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.","Birds","Human observation",14,"Asia and Oceania","India",27.768889,88.701389,3250,"moist_montane_forest",30,"Sampling combined","Y","Y"
"5","Altamirano 1989","Altamirano, M. A., & Morales, J. E. (1998). Distribución vertical de la avifauna en un bosque templado de Zinacatán, Chiapas, México. Acta Zoológica Mexicana (nueva serie), (75), 125-142.","Birds","Mist nets + Human observation",8,"Americas","Mexico",16.72,-92.700833,2350,"moist_montane_forest",45,"Sampling combined","Y",NA
"6","Basham 2019","Basham, E. W., Seidl, C. M., Andriamahohatra, L. R., Oliveira, B. F., & Scheffers, B. R. (2019). Distance–decay differs among vertical strata in a tropical rainforest. Journal of Animal Ecology, 88(1), 114-124.","Amphibians","Human observation",8,"Africa","Madagascar",-21.283333,47.416667,1050,"moist_montane_forest",30,"Wet","Y","Y"
"7","Basham 2020","Basham, E. W., & Scheffers, B. R. (2020). Vertical stratification collapses under seasonal shifts in climate. Journal of Biogeography.","Amphibians","Human observation",8,"Americas","Panama",9.358555,-79.7029,400,"moist_lowland_forest",33,"Wet","Y","Y"
"8","Basham 2020 (2)","Basham, E. W., & Scheffers, B. R. (2020). Vertical stratification collapses under seasonal shifts in climate. Journal of Biogeography.","Amphibians","Human observation",8,"Americas","Panama",9.358555,-79.7029,400,"moist_lowland_forest",33,"Dry","Y","Y"
"9","Bell 1982","Bell, H. L. (1982). A bird community of New Guinean lowland rainforest. 3 Vertical distribution of the avifauna. Emu-Austral Ornithology, 82(3), 143-162.","Birds","Human observation",11,"Asia and Oceania","Papua New Guinea",-9.159416,147.235403,250,"moist_lowland_forest",40,"Sampling combined","Y","Y"
"10","Bernard 2001","Bernard, E. (2001). Vertical stratification of bat communities in primary forests of Central Amazon, Brazil. Journal of Tropical Ecology, 17(01), 115-126.","Bats","Mist nets",11,"Americas","Brazil",-2.407222,-59.727778,80,"moist_lowland_forest",40,"Sampling combined","Y","Y"
