link,sites,study_id.x,year,reference,doi_link,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,forest_type_iucn_new,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,linking_id,study_id.y,biodiversity_metric_value,biodiversity_metric,biodiversity_metric_specific,biodiversity_metric_corrected,correction_performed,subsequent_correction,correction_performed_on_data_in_table,min_strata_height,max_strata_height,mean_strata_height,strata_category,temporal_effort_at_each_height,temporal_effort_unit,spatial_effort,spatial_effort_unit,study_id,strata_width,bin_weight,corrected_biodiversity_metric_value,max_richness,max_abundance,mean_strata_height_p
Abreu_2014 _ 1,1,Abreu_2014,2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,2,3,4,"Richness, Abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Araucaria Forest,moist_montane_forest,750,30,-29.485556,-50.207222,1/1/2011,12/1/2011,1,Abreu_2014,72,abundance,raw,N,NA,8.540925267,captures per 100 trap nights,0,0,0,ground,843,trap-nights,100,trap stations (1 forest site),Abreu_2014,1,1,0.99999,NA,8.540925267,0
Abreu_2014 _ 1,1,Abreu_2014,2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,2,3,4,"Richness, Abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Araucaria Forest,moist_montane_forest,750,30,-29.485556,-50.207222,1/1/2011,12/1/2011,1,Abreu_2014,29,abundance,raw,N,NA,2.660550459,captures per 100 trap nights,0.03333333333333333,0.16666666666666666,3,understory,1090,trap-nights,100,trap stations (1 forest site),Abreu_2014,4,1,0.31150611623774555,NA,8.540925267,0.1
Abreu_2014 _ 1,1,Abreu_2014,2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,2,3,4,"Richness, Abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined,Araucaria Forest,moist_montane_forest,750,30,-29.485556,-50.207222,1/1/2011,12/1/2011,1,Abreu_2014,24,abundance,raw,N,NA,2.154398564,captures per 100 trap nights,0.2,0.4,9,canopy,1114,trap-nights,100,trap stations (1 forest site),Abreu_2014,6,1,0.2522441651988289,NA,8.540925267,0.3
Acharya_2017 _ 1,1,Acharya_2017,2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined,Tropical semi-deciduous,dry_forest,600,30,27.234167,88.401111,2003,2006,1,Acharya_2017,8.06010929,richness,observed (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,37,points,Acharya_2017,1,1,0.2438016529013114,33.06010929,211.4754098,0
Acharya_2017 _ 1,1,Acharya_2017,2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined,Tropical semi-deciduous,dry_forest,600,30,27.234167,88.401111,2003,2006,1,Acharya_2017,33.06010929,richness,observed (median),Y,per transect,NA,NA,0,0.16666666666666666,2.5,NA,40,minutes per point count,37,points,Acharya_2017,5,1,0.99999,33.06010929,211.4754098,0.08333333333333333
Acharya_2017 _ 1,1,Acharya_2017,2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined,Tropical semi-deciduous,dry_forest,600,30,27.234167,88.401111,2003,2006,1,Acharya_2017,33.06010929,richness,observed (median),Y,per transect,NA,NA,0.16666666666666666,0.3333333333333333,7.5,NA,40,minutes per point count,37,points,Acharya_2017,5,1,0.99999,33.06010929,211.4754098,0.25
Acharya_2017 _ 1,1,Acharya_2017,2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined,Tropical semi-deciduous,dry_forest,600,30,27.234167,88.401111,2003,2006,1,Acharya_2017,26.09289617,richness,observed (median),Y,per transect,NA,NA,0.3333333333333333,0.5,12.5,NA,40,minutes per point count,37,points,Acharya_2017,5,1,0.7892561981908681,33.06010929,211.4754098,0.4166666666666667
Acharya_2017 _ 1,1,Acharya_2017,2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined,Tropical semi-deciduous,dry_forest,600,30,27.234167,88.401111,2003,2006,1,Acharya_2017,14.89071038,richness,observed (median),Y,per transect,NA,NA,0.5,0.6666666666666666,17.5,NA,40,minutes per point count,37,points,Acharya_2017,5,1,0.4504132230592514,33.06010929,211.4754098,0.5833333333333334
Acharya_2017 _ 1,1,Acharya_2017,2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined,Tropical semi-deciduous,dry_forest,600,30,27.234167,88.401111,2003,2006,1,Acharya_2017,3.142076503,richness,observed (median),Y,per transect,NA,NA,0.6666666666666666,0.8333333333333334,22.5,NA,40,minutes per point count,37,points,Acharya_2017,5,1,0.09504132232104912,33.06010929,211.4754098,0.75
Acharya_2017 _ 1,1,Acharya_2017,2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined,Tropical semi-deciduous,dry_forest,600,30,27.234167,88.401111,2003,2006,1,Acharya_2017,4.098360656,richness,observed (median),Y,per transect,NA,NA,0.8333333333333334,1,27.5,NA,40,minutes per point count,37,points,Acharya_2017,5,1,0.12396694215525987,33.06010929,211.4754098,0.9166666666666666
