linking_id,study_id,biodiversity_metric_value,biodiversity_metric,biodiversity_metric_specific,biodiversity_metric_corrected,correction_performed,subsequent_correction,correction_performed_on_data_in_table,min_strata_height,max_strata_height,mean_strata_height,strata_category,temporal_effort_at_each_height,temporal_effort_unit,spatial_effort,spatial_effort_unit,link
1,Abreu_2014,72,abundance,raw,N,NA,8.540925267,captures per 100 trap nights,0,0,0,ground,843,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Abreu_2014,29,abundance,raw,N,NA,2.660550459,captures per 100 trap nights,0.03333333333333333,0.16666666666666666,3,understory,1090,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Abreu_2014,24,abundance,raw,N,NA,2.154398564,captures per 100 trap nights,0.2,0.4,9,canopy,1114,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Acharya_2017,8.06010929,richness,observed (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,33.06010929,richness,observed (median),Y,per transect,NA,NA,0,0.16666666666666666,2.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,33.06010929,richness,observed (median),Y,per transect,NA,NA,0.16666666666666666,0.3333333333333333,7.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,26.09289617,richness,observed (median),Y,per transect,NA,NA,0.3333333333333333,0.5,12.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,14.89071038,richness,observed (median),Y,per transect,NA,NA,0.5,0.6666666666666666,17.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,3.142076503,richness,observed (median),Y,per transect,NA,NA,0.6666666666666666,0.8333333333333334,22.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,4.098360656,richness,observed (median),Y,per transect,NA,NA,0.8333333333333334,1,27.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,11.47540984,abundance,raw (median),Y,per transect,NA,NA,0.6666666666666666,0.8333333333333334,22.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,21.31147541,abundance,raw (median),Y,per transect,NA,NA,0.8333333333333334,1,27.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,198.3606557,abundance,raw (median),Y,per transect,NA,NA,0.16666666666666666,0.3333333333333333,7.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,175.4098361,abundance,raw (median),Y,per transect,NA,NA,0.3333333333333333,0.5,12.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,22.95081967,abundance,raw (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,211.4754098,abundance,raw (median),Y,per transect,NA,NA,0,0.16666666666666666,2.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,114.7540984,abundance,raw (median),Y,per transect,NA,NA,0.5,0.6666666666666666,17.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
