sites,study_ID,climate_theorized,climate_investigated,food_theorized,food_investigated,structure_theorized,structure_investigated,microhabitat_theorized,microhabitat_investigated,sex_theorized,sex_investigated,guilds_theorized,guilds_investigated,seasonality_theorized,seasonality_investigated,diurnality_theorized,diurnality_investigated,predation_theorized,predation_investigated,light_theorized,light_investigated,detection_theorized,detection_investigated,reproduction_theorized,reproduction_investigated,age_theorized,age_investigated,morphology_theorized,morphology_investigated,competition_theorized,competition_investigated,shelter_theorized,shelter_investigated,coexistence_theorized,coexistence_investigated,interactions_theorized,interactions_investigated
1,Abreu_2014,,,Y,X,Y,YY,Y,YY,,,,,,,,,Y,X,,,,,,,,,,,Y,X,Y,YY,Y,X,Y,X
1,Acharya_2017,Y,X,Y,X,Y,YY,Y,X,,,,,,,,,Y,X,,,Y,X,,,,,,,Y,X,Y,X,Y,X,Y,X
1,Adam_1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,X,,,,
1,Altamirano_1989,,,Y,YY,Y,YY,,,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,
1,Basham_2019,Y,X,,,Y,X,Y,X,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,
1,Basham_2020,Y,X,,,Y,X,Y,X,,,,,Y,YY,,,,,,,,,Y,X,,,,,,,,,,,,
1,Bell_1982,Y,YY,Y,YY,Y,YY,Y,X,Y,X,Y,YY,Y,YY,Y,YY,,,Y,X,,,Y,X,,,Y,YY,,,Y,YY,,,,
1,Bernard_2001,,,Y,YY,Y,X,,,,,Y,YY,,,,,,,,,,,,,,,Y,YX,,,Y,YY,,,,
1,Bonaccorso_1976,Y,X,Y,YY,Y,X,,,,,Y,YY,Y,YY,Y,YY,,,,,Y,X,,,,,Y,YY,Y,X,Y,YY,,,Y,X
1,Brosset_1996,,,Y,X,Y,X,,,,,Y,X,,,,,,,,,Y,X,,,,,,,,,,,,,,
1,Buchanan-Smith_2000,,,Y,YY,Y,YY,Y,YY,,,,,,,,,,,,,,,,,,,Y,YY,,,,,,,,
1,Carvalho_2013,,,Y,X,Y,X,Y,X,,,Y,YY,,,,,,,,,Y,X,,,,,,,,,Y,X,,,,
1,Chmel_2016,Y,YY,Y,YY,Y,YY,,,,,Y,YY,,,Y,YY,,,,,,,,,,,,,Y,X,,,,,Y,X
3,Derlindati_2005,,,Y,X,,,,,,,Y,YY,,,,,,,,,Y,YY,Y,X,,,,,,,Y,X,,,,
1,Duya_2017,,,Y,X,Y,X,,,Y,X,,,,,,,,,,,,,,,,,Y,YX,,,Y,X,,,,
1,Gregorin_2017,,,Y,X,Y,X,,,,,Y,YX,,,,,,,,,Y,X,,,,,Y,X,,,Y,X,,,,
1,Grelle_2003,,,,,Y,YY,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hannibal_2010,,,,,Y,YY,Y,YY,,,Y,X,Y,YY,,,,,,,,,,,,,,,Y,X,,,,,Y,X
1,Henry_2004,Y,X,Y,X,Y,X,,,,,,,Y,YY,,,,,Y,X,,,,,,,Y,YX,,,Y,X,,,,
1,Jayson_2003,Y,X,Y,X,Y,YY,Y,X,,,,,,,,,,,,,,,,,,,,,,,Y,X,,,,
1,Kalko_2001,,,Y,YY,Y,X,,,,,Y,YY,,,,,,,Y,X,Y,X,,,,,,,,,Y,X,,,,
2,Karr_1971,,,Y,YY,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kuznetsov_2008,,,,,,,,,,,Y,YY,Y,YY,,,,,,,,,,,,,,,Y,YY,,,,,Y,YY
1,Lambert_2005,,,,,Y,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Latta_1998,,,Y,YY,Y,YY,Y,YY,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,
1,Lentijo_2005,,,Y,YY,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Lim_2001,,,Y,YY,,,,,,,Y,YY,,,,,,,,,,,,,,,Y,YY,,,Y,X,Y,YY,,
1,MacSwiney_2008,,,,,,,,,,,,,,,,,,,,,Y,YY,,,,,,,,,,,,,,
1,Malcolm_1991,,,,,,,,,,,,,,,,,,,,,Y,YY,,,,,,,,,,,,,,
1,Malcolm_2000,,,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Marques_2015,,,Y,YY,Y,X,,,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,
1,McClearn_1994,,,Y,X,,,,,,,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,
1,Orians_1969,,,Y,YY,Y,YY,Y,YY,,,Y,YY,,,,,,,,,,,,,,,,,,,,,,,,
1,Pearson_1971,Y,X,Y,YY,Y,YY,,,,,,,,,Y,YY,,,Y,X,,,,,,,Y,YY,,,,,,,Y,YY
1,Pearson_1977,,,Y,YY,Y,YY,Y,YY,,,Y,YY,,,,,Y,X,,,,,,,,,,,,,Y,X,Y,YY,Y,YY
