linking_id,study_id,biodiversity_metric_value,biodiversity_metric,biodiversity_metric_specific,biodiversity_metric_corrected,correction_performed,subsequent_correction,correction_performed_on_data_in_table,min_strata_height,max_strata_height,mean_strata_height,strata_category,temporal_effort_at_each_height,temporal_effort_unit,spatial_effort,spatial_effort_unit,link
1,Abreu_2014,72,abundance,raw,N,NA,8.540925267,captures per 100 trap nights,0,0,0,ground,843,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Abreu_2014,29,abundance,raw,N,NA,2.660550459,captures per 100 trap nights,1,5,3,understory,1090,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Abreu_2014,24,abundance,raw,N,NA,2.154398564,captures per 100 trap nights,6,12,9,canopy,1114,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Abreu_2014,10,richness,observed,N,NA,NA,NA,0,0,0,ground,843,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Abreu_2014,7,richness,observed,N,NA,NA,NA,1,5,3,understory,1090,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Abreu_2014,4,richness,observed,N,NA,NA,NA,6,12,9,canopy,1114,trap-nights,100,trap stations (1 forest site),Abreu_2014 _ 1
1,Acharya_2017,8.06010929,richness,observed (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,33.06010929,richness,observed (median),Y,per transect,NA,NA,0,5,2.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,33.06010929,richness,observed (median),Y,per transect,NA,NA,5,10,7.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,26.09289617,richness,observed (median),Y,per transect,NA,NA,10,15,12.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,14.89071038,richness,observed (median),Y,per transect,NA,NA,15,20,17.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,3.142076503,richness,observed (median),Y,per transect,NA,NA,20,25,22.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
1,Acharya_2017,4.098360656,richness,observed (median),Y,per transect,NA,NA,25,30,27.5,NA,40,minutes per point count,37,points,Acharya_2017 _ 1
2,Acharya_2017,7.04467354,richness,observed (median),Y,per transect,NA,NA,0,0,0,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,44.03398244,richness,observed (median),Y,per transect,NA,NA,0,5,2.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,44.03398244,richness,observed (median),Y,per transect,NA,NA,5,10,7.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,25.06204658,richness,observed (median),Y,per transect,NA,NA,10,15,12.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,15.87437953,richness,observed (median),Y,per transect,NA,NA,15,20,17.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,5.25486827,richness,observed (median),Y,per transect,NA,NA,20,25,22.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
2,Acharya_2017,5.135547919,richness,observed (median),Y,per transect,NA,NA,25,30,27.5,NA,40,minutes per point count,41,points,Acharya_2017 _ 2
