sites,study_id,reference,doi_link,google_drive_link,data_quality,data_quality_explanation,data_stripped,sum_total_richness,sum_total_abundance,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,driver_of_stratification,other_data_of_interest,additional_notes,...28,linking_id,binomial_test_data,biodiversity_metric_value,biodiversity_metric,biodiversity_metric_specific,var_biodiversity_metric,var_biodiversity_metric_unit,biodiversity_metric_corrected,correction_performed,subsequent_correction,correction_performed_on_data_in_table,proportion,statistic_standard_deviation,min_strata_height,max_strata_height,mean_strata_height,strata_category,direction_of_response,statistic_type,statistic_value,p_value,statistic_notes,compared_height_1,compared_height_2,temporal_effort_at_each_height,temporal_effort_unit,metric_effort,corrected_metric,spatial_effort,spatial_effort_unit,notes
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA,1,N,72,abundance,raw,NA,NA,N,NA,8.540925267,captures per 100 trap nights,100,NA,0,0,0,ground,NA,NA,NA,NA,NA,NA,NA,843.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (843) divided by 24 nights of sampling
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA,1,N,29,abundance,raw,NA,NA,N,NA,2.660550459,captures per 100 trap nights,31.15061162,NA,0.05263157894736842,0.2631578947368421,0.15789473684210525,understory,NA,NA,NA,NA,NA,NA,NA,1090.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),"# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (1,090) divided by 24 nights of sampling"
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA,1,N,24,abundance,raw,NA,NA,N,NA,2.154398564,captures per 100 trap nights,25.22441652,NA,0.3157894736842105,0.631578947368421,0.47368421052631576,canopy,NA,NA,NA,NA,NA,NA,NA,1114.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),"# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (1,114) divided by 24 nights of sampling"
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA,1,N,10,richness,observed,NA,NA,N,NA,1.18623962,species per 100 captures,100,NA,0,0,0,ground,NA,NA,NA,NA,NA,NA,NA,843.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (843) divided by 24 nights of sampling
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA,1,N,7,richness,observed,NA,NA,N,NA,0.6422018349,species per 100 captures,54.13761468,NA,0.05263157894736842,0.2631578947368421,0.15789473684210525,understory,NA,NA,NA,NA,NA,NA,NA,1090.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),"# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (1,090) divided by 24 nights of sampling"
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA,1,N,4,richness,observed,NA,NA,N,NA,0.3590664273,species per 100 captures,30.26929982,NA,0.3157894736842105,0.631578947368421,0.47368421052631576,canopy,NA,NA,NA,NA,NA,NA,NA,1114.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),"# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (1,114) divided by 24 nights of sampling"
1,Acharya_2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,NA,"Richness, Abundance, Similarity - 7 categories of height",Variable-width point counts,Birds,Asia,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,300-900,32,27.234167,88.401111,2003.0,2006.0,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize,NA,1,N,8.06010928961749,richness,observed,2.0284459717449597,75th-25th percentile,N,NA,NA,NA,24.38016529,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation."
1,Acharya_2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,NA,"Richness, Abundance, Similarity - 7 categories of height",Variable-width point counts,Birds,Asia,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,300-900,32,27.234167,88.401111,2003.0,2006.0,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize,NA,1,N,33.0601092896174,richness,observed,11.096792668957704,75th-25th percentile,N,NA,NA,NA,100,NA,0,0.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation."
1,Acharya_2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,NA,"Richness, Abundance, Similarity - 7 categories of height",Variable-width point counts,Birds,Asia,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,300-900,32,27.234167,88.401111,2003.0,2006.0,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize,NA,1,N,33.0601092896174,richness,observed,7.875143184421503,75th-25th percentile,N,NA,NA,NA,100,NA,0.15625,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation."
1,Acharya_2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,NA,"Richness, Abundance, Similarity - 7 categories of height",Variable-width point counts,Birds,Asia,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,300-900,32,27.234167,88.401111,2003.0,2006.0,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize,NA,1,N,26.0928961748633,richness,observed,5.250095456281002,75th-25th percentile,N,NA,NA,NA,78.92561983,NA,0.3125,0.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation."
