linking_id,study_id,binomial_test_data,biodiversity_metric_value,biodiversity_metric,biodiversity_metric_specific,var_biodiversity_metric,var_biodiversity_metric_min,var_biodiversity_metric_max,var_biodiversity_metric_unit,biodiversity_metric_corrected,correction_performed,subsequent_correction,correction_performed_on_data_in_table,proportion_of_max_biodiversity,statistic_standard_deviation,min_strata_height,max_strata_height,mean_strata_height,strata_category,proportional_strata_height,direction_of_response,statistic_type,statistic_value,p_value,statistic_notes,compared_height_1,compared_height_2,temporal_effort_at_each_height,temporal_effort_unit,metric_effort,corrected_metric,spatial_effort,spatial_effort_unit,notes,link
1,Acharya_2017,N,8.06010928961749,richness,observed (median),2.02844597174496,NA,NA,75th-25th percentile,Y,per transect,NA,NA,24.38016529,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 1
1,Acharya_2017,N,33.0601092896174,richness,observed (median),11.0967926689577,NA,NA,75th-25th percentile,Y,per transect,NA,NA,100,NA,0,0.16666666666666666,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 1
1,Acharya_2017,N,33.0601092896174,richness,observed (median),7.8751431844215,NA,NA,75th-25th percentile,Y,per transect,NA,NA,100,NA,0.16666666666666666,0.3333333333333333,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 1
1,Acharya_2017,N,26.0928961748633,richness,observed (median),5.250095456281,NA,NA,75th-25th percentile,Y,per transect,NA,NA,78.92561983,NA,0.3333333333333333,0.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 1
1,Acharya_2017,N,14.8907103825136,richness,observed (median),2.0284459717449,NA,NA,75th-25th percentile,Y,per transect,NA,NA,45.04132231,NA,0.5,0.6666666666666666,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 1
1,Acharya_2017,N,3.14207650273225,richness,observed (median),1.07388316151203,NA,NA,75th-25th percentile,Y,per transect,NA,NA,9.504132231,NA,0.6666666666666666,0.8333333333333334,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 1
1,Acharya_2017,N,4.09836065573771,richness,observed (median),3.3409698358152,NA,NA,75th-25th percentile,Y,per transect,NA,NA,12.39669421,NA,0.8333333333333334,1,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 1
1,Acharya_2017,N,11.4754098360654,abundance,raw (median),NA,6.55737704918028,24.5901639344261,25th and 75th percentiles,Y,per transect,NA,NA,NA,NA,0.6666666666666666,0.8333333333333334,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,NA,Acharya_2017 _ 1
1,Acharya_2017,N,21.311475409836,abundance,raw (median),NA,6.55737704918028,37.7049180327868,25th and 75th percentiles,Y,per transect,NA,NA,NA,NA,0.8333333333333334,1,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,NA,Acharya_2017 _ 1
1,Acharya_2017,N,198.360655737704,abundance,raw (median),NA,188.524590163934,260.655737704918,25th and 75th percentiles,Y,per transect,NA,NA,NA,NA,0.16666666666666666,0.3333333333333333,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,NA,Acharya_2017 _ 1
1,Acharya_2017,N,175.409836065573,abundance,raw (median),NA,142.622950819672,239.344262295081,25th and 75th percentiles,Y,per transect,NA,NA,NA,NA,0.3333333333333333,0.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,NA,Acharya_2017 _ 1
1,Acharya_2017,N,22.950819672131,abundance,raw (median),NA,21.311475409836,29.5081967213114,25th and 75th percentiles,Y,per transect,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,NA,Acharya_2017 _ 1
1,Acharya_2017,N,211.475409836065,abundance,raw (median),NA,181.967213114754,272.131147540983,25th and 75th percentiles,Y,per transect,NA,NA,NA,NA,0,0.16666666666666666,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,NA,Acharya_2017 _ 1
1,Acharya_2017,N,114.754098360655,abundance,raw (median),NA,62.295081967213,152.459016393442,25th and 75th percentiles,Y,per transect,NA,NA,NA,NA,0.5,0.6666666666666666,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,NA,Acharya_2017 _ 1
2,Acharya_2017,N,44.0339824360442,richness,observed (median),4.7728140511646,NA,NA,75th-25th percentile,Y,per transect,NA,NA,100,NA,0.16666666666666666,0.3333333333333333,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,41.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 2
2,Acharya_2017,N,25.0620465826651,richness,observed (median),7.0399007254678,NA,NA,75th-25th percentile,Y,per transect,NA,NA,56.91523954,NA,0.3333333333333333,0.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,41.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 2
2,Acharya_2017,N,5.25486827033217,richness,observed (median),2.14776632302407,NA,NA,75th-25th percentile,Y,per transect,NA,NA,11.93366573,NA,0.6666666666666666,0.8333333333333334,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,41.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 2
2,Acharya_2017,N,5.13554791905306,richness,observed (median),1.43184421534938,NA,NA,75th-25th percentile,Y,per transect,NA,NA,11.66269239,NA,0.8333333333333334,1,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,41.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 2
2,Acharya_2017,N,9.23076923076917,abundance,raw (median),NA,12.3076923076922,12.3076923076922,25th and 75th percentiles,Y,per transect,NA,NA,NA,NA,0.6666666666666666,0.8333333333333334,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,41.0,points,NA,Acharya_2017 _ 2
2,Acharya_2017,N,15.8743795341733,richness,observed (median),4.0568919434899,NA,NA,75th-25th percentile,Y,per transect,NA,NA,36.05029265,NA,0.5,0.6666666666666666,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,41.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 2
2,Acharya_2017,N,7.04467353951887,richness,observed (median),2.86368843069873,NA,NA,75th-25th percentile,Y,per transect,NA,NA,15.99826577,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,41.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 2
2,Acharya_2017,N,44.0339824360442,richness,observed (median),10.8581519663994,NA,NA,75th-25th percentile,Y,per transect,NA,NA,100,NA,0,0.16666666666666666,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,41.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation.",Acharya_2017 _ 2
