sites,study_id,reference,doi_link,google_drive_link,data_quality,data_quality_explanation,data_stripped,sum_total_richness,sum_total_abundance,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,driver_of_stratification,other_data_of_interest,additional_notes,...28
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA
1,Abreu_2014,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,"Richness, Abundance - 3 categories of height",-,Small mammals,SA,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750.0,19,-29.485556,-50.207222,40544.0,40878.0,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA,NA
1,Acharya_2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,NA,"Richness, Abundance, Similarity - 7 categories of height",Variable-width point counts,Birds,Asia,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,300-900,32,27.234167,88.401111,2003.0,2006.0,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize,NA
1,Acharya_2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,NA,"Richness, Abundance, Similarity - 7 categories of height",Variable-width point counts,Birds,Asia,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,300-900,32,27.234167,88.401111,2003.0,2006.0,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize,NA
1,Acharya_2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,NA,"Richness, Abundance, Similarity - 7 categories of height",Variable-width point counts,Birds,Asia,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,300-900,32,27.234167,88.401111,2003.0,2006.0,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize,NA
1,Acharya_2017,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,NA,"Richness, Abundance, Similarity - 7 categories of height",Variable-width point counts,Birds,Asia,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,300-900,32,27.234167,88.401111,2003.0,2006.0,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize,NA
