sites,study_id,year,indepedence_weight,reference,doi_link,google_drive_link,data_quality,data_quality_explanation,data_stripped,sum_total_richness,sum_total_abundance,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,driver_of_stratification,other_data_of_interest,additional_notes
1,Abreu_2014,2014,1,"Abreu, M. S., & OLIVEIRA, L. R. (2014). Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais da Academia Brasileira de Ciências, 86(2), 807-819.",10.1590/0001-3765201420130063,https://drive.google.com/file/d/1L19IovUFexjTYXq4AnDKOLzU6vIXPBrC/view?usp=sharing,1,NA,Yes,10,125,2,3,4,"Richness, Abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined across the year,Araucaria Forest,750,30,-29.485556,-50.207222,2011-01-01,2011-12-01,"Food sources,	microhabitats and canopy cover drive stratification of small mammals - with greater abundance and richness nearer the ground",redundancy / ordination anaylsis on habitat variables against species specific stratification patterns,NA
1,Acharya_2017,2017,1,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,3775,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined across the year,Tropical semi-deciduous,600,30,27.234167,88.401111,2003,2006,Unequal distribution of foliage and/or food,Foliage density,Jaccard similarity between each combo of the 7 strata provided but did not digitize
2,Acharya_2017,2017,1,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,5245,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined across the year,Tropical moist and broadleaf,1350,30,27.550278,88.634722,2003,2006,Unequal distribution of foliage and/or food,Foliage density,NA
3,Acharya_2017,2017,1,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,6725,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined across the year,Temperate broadleaf,2250,30,27.618611,88.700556,2003,2006,Unequal distribution of foliage and/or food,Foliage density,NA
4,Acharya_2017,2017,1,"Acharya, B. K., & Vijayan, L. (2017). Vertical stratification of birds in different vegetation types along an elevation gradient in the Eastern Himalaya, India. Ornithological Science, 16(2), 131-140.",https://doi.org/10.2326/osj.16.131,https://drive.google.com/file/d/1tbQniWTso9Nq2jZa70Tw0OAzhu9F5C3g/view?usp=sharing,1,NA,Yes,NA,2290,5,4,5,"Richness, Abundance, Similarity - 7 categories of height",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined across the year,Temperate coniferous,3250,30,27.768889,88.701389,2003,2006,Unequal distribution of foliage and/or food,Foliage density,NA
1,Adam_1977,1977,1,"Adam, F. (1977). Données préliminaires sur l’habitat et la stratification des rongeurs en forêt de Basse Côte-d’Ivoire. Mammalia, 41(3), 283-290.",NA,https://drive.google.com/file/d/1iRTKgLMncrAB5wq11xjg_WX8j6NSubPj/view?usp=sharing,1,NA,Yes,20,NA,2,1,1,Richness - 4 categories of height,Traps,Small mammals,Africa,Ivory Coast,Unlogged,NA,Tropical forest,15,15,5.386203,-4.052374,NA,NA,NA,Species data,NA
1,Adams_2009,2009,NA,"Adams, M. D., Law, B. S., & French, K. O. (2009). Vegetation structure influences the vertical stratification of open-and edge-space aerial-foraging bats in harvested forests. Forest Ecology and Management, 258(9), 2090-2100.",10.1016/j.foreco.2009.08.002,https://drive.google.com/file/d/1zcLXbKWdydE5aSn5-i-lq60XDD8luV4u/view?usp=sharing,2,2 - Data is not currently in the best form - data for each strata is currently combined between logged and unlogged,Yes,NA,NA,NA,NA,NA,Abundance (mean passes) - 3 categories of height,-,Bats,Aust,Australia,Old regrowth,Unknown,Temperate forest,30,35,-35.533333,150.366667,2001-01-23,2001-04-18,Forest structure had a strong influence on the activity of open-space and edge-spacebats and their vertical distribution. Insect abudance (greatest in understory) varied vertically and had significant effect on bat activity,"Insect data, guild specific data, forest regeneration data",NA
2,Adams_2009,2009,NA,"Adams, M. D., Law, B. S., & French, K. O. (2009). Vegetation structure influences the vertical stratification of open-and edge-space aerial-foraging bats in harvested forests. Forest Ecology and Management, 258(9), 2090-2100.",10.1016/j.foreco.2009.08.002,https://drive.google.com/file/d/1zcLXbKWdydE5aSn5-i-lq60XDD8luV4u/view?usp=sharing,2,2 - Data is not currently in the best form - data for each strata is currently combined between logged and unlogged,Yes,NA,NA,NA,NA,NA,Abundance (mean passes) - 3 categories of height,-,Bats,Aust,Australia,Young-regrowth,Unknown,Temperate forest,30,25,-35.533333,150.366667,2001-01-23,2001-04-18,Forest structure had a strong influence on the activity of open-space and edge-spacebats and their vertical distribution. Insect abudance (greatest in understory) varied vertically and had significant effect on bat activity,"Insect data, guild specific data, forest regeneration data",NA
1,Altamirano_1989,1989,1,"Altamirano, M. A., & Morales, J. E. (1998). Distribución vertical de la avifauna en un bosque templado de Zinacatán, Chiapas, México. Acta Zoológica Mexicana (nueva serie), (75), 125-142.",NA,https://drive.google.com/file/d/1xDA6Fv4FjBVMJ0Cqg1HMm5LyF2PQWB1Z/view?usp=sharing,1,NA,Yes,76,NA,2,2,4,Richness - 9 categories of height,Mist nets + Human observation,Birds,Americas,Mexico,Unlogged,Sampling combined across the year,Pine forest,2350,45,16.72,-92.700833,1993-02-01,1993-12-15,"Foliage density, food resources","Foliage density, species data, threat status",Seems to be uneven sampling with the inclusion of ground based mist nets - but rarefaction curve for the community is very flat -0 authors admit that seeing into the canopy is very difficult - so lower observations
2,Balda_1969,1969,NA,"Balda, R. P. (1969). Foliage use by birds of the oak-juniper woodland and ponderosa pine forest in southeastern Arizona. The Condor, 71(4), 399-412.",NA,https://drive.google.com/file/d/1boyOzbfxORkzh8IoghyxUznKi7p4evQ5/view?usp=sharing,1,NA,Yes,NA,NA,NA,NA,NA,Abundance (relative) - Continuous gradient,Point counts,Birds,NA,USA,Unlogged,Sampling combined across the year,Ponderosa Pine Forest,2500,30,31.907734,-109.286115,1964,1965,"Foliage, tree species","Foliage density, species specific stratification data",NA
1,Balda_1969,1969,NA,"Balda, R. P. (1969). Foliage use by birds of the oak-juniper woodland and ponderosa pine forest in southeastern Arizona. The Condor, 71(4), 399-412.",NA,https://drive.google.com/file/d/1boyOzbfxORkzh8IoghyxUznKi7p4evQ5/view?usp=sharing,1,NA,Yes,NA,NA,NA,NA,NA,Abundance (relative) - Continuous gradient,Point counts,Birds,NA,USA,Unlogged,Sampling combined across the year,Oak-Juniper Woodland,1650,22,31.867906,-109.209372,1964,1965,"Foliage, tree species","Foliage density, species specific stratification data","No methods on bird sampling provided in this paper, but are available in one of his other papers from this time: https://www.jstor.org/stable/pdf/1366011.pdf?refreqid=excelsior%3A2d15429156da6d756ae42ceb1dcf04f4"
1,Basham_2019,2019,1,"Basham, E. W., Seidl, C. M., Andriamahohatra, L. R., Oliveira, B. F., & Scheffers, B. R. (2019). Distance–decay differs among vertical strata in a tropical rainforest. Journal of Animal Ecology, 88(1), 114-124.",10.1111/1365-2656.12902,https://drive.google.com/file/d/1hkEVI-8A638OPP_M2aIxLMVtlJYot0iN/view?usp=sharing,1,NA,Yes,37,131,2,4,2,"Richness, abundance - 3 categories of height",Human observation,Amphibians,Africa,Madagascar,Unlogged,Wet,Rainforest,1050,30,-21.283333,47.416667,2015-11-01,2016-01-20,"Microhabitats, forest structure",Composition comparison,NA
1,Basham_2020,2020,0.5,"Basham, E. W., & Scheffers, B. R. (2020). Vertical stratification collapses under seasonal shifts in climate. Journal of Biogeography.",10.1111/jbi.13857,https://drive.google.com/file/d/1AKWkxFYkfaZpcAV3FJtiYAZMtL6xcMqY/view?usp=sharing,1,NA,Yes,29,NA,2,4,2,"Richness, abundance (supp) - continuous gradient",Human observation,Amphibians,Americas,Panama,Unlogged,Wet,Moist forest,400,33,9.358555,-79.7029,2017-06-01,2018-09-01,"Microhabitats, forest structure",NA,NA
2,Basham_2020,2020,0.5,"Basham, E. W., & Scheffers, B. R. (2020). Vertical stratification collapses under seasonal shifts in climate. Journal of Biogeography.",10.1111/jbi.13857,https://drive.google.com/file/d/1AKWkxFYkfaZpcAV3FJtiYAZMtL6xcMqY/view?usp=sharing,1,NA,Yes,23,NA,2,4,2,"Richness, abundance (supp) - continuous gradient",Human observation,Amphibians,Americas,Panama,Unlogged,Dry,Moist forest,400,33,9.358555,-79.7029,2017-06-01,2018-09-01,"Microhabitats, forest structure",NA,NA
1,Bell_1982,1982,1,"Bell, H. L. (1982). A bird community of New Guinean lowland rainforest. 3 Vertical distribution of the avifauna. Emu-Austral Ornithology, 82(3), 143-162.",NA,https://drive.google.com/file/d/11ScOgOYFx5yupw1HOIQNDUYZq_Nl32OP/view?usp=sharing,1,NA,Yes,100,26361,2,4,5,"Abundance (Density) - continous gradient, Abundance, Richness - 5 categories of height",Human observation,Birds,Asia and Oceania,Papua New Guinea,Unlogged,Sampling combined across the year,Lowland rainforest,250,40,-9.159416,147.235403,1975-12-01,1977-12-01,"Food sources, sex related differences (also display behaviours), effect of mixed flocking, secondary growth species","Biomass by strata, guild data, species specific data, seasonal data",NA
1,Bernard_2001,2001,1,"Bernard, E. (2001). Vertical stratification of bat communities in primary forests of Central Amazon, Brazil. Journal of Tropical Ecology, 17(01), 115-126.",10.1017/S0266467401001079,https://drive.google.com/file/d/1mU-12OR_sihCUIJFpO0L6yuTATVTa70M/view?usp=sharing,1,NA,Yes,51,936,4,3,4,"Abundance (per net hour), Richness (estimated - taken from sampaio) - 2 categories of height",Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined across the year,Lowland rainforest,80,40,-2.407222,-59.727778,1996-08-01,1997-08-01,"Diet, foraging behaviour, roost-site selection, and morphology","Guild, species specific data",NA
1,Bonaccorso_1976,1976,1,"Bonaccorso, F. J. (1976). Foraging and reproductive ecology in a community of bats in Panama. PhD Dissertation: University of Florida",NA,https://ufdc.ufl.edu/AA00024888/00001/pdf,3,"3 - Data need compilation from multiple guild specific tables - Tables 11, 21, 23 - There is no Canopy nets... only to subcanopy - the author states that canopy nets were stopped because there were very few captures",Yes,27,1261,3,3,4,"Abundance, Richness - 2 categories of height",Mist nets and harp traps,Bats,Americas,Panama,Unlogged,Sampling combined across the year,Lowland rainforest,25,40,9.154456,-79.851034,1971,1973,"Food sources, guilds","Food stratification, seasonality, guild and species specific data",NA
1,Bonter_2008,2008,NA,"Bonter, D. N., Brooks, E. W., & Donovan, T. M. (2008). What are we missing with only ground‐level mist nets? Using elevated nets at a migration stopover site. Journal of Field Ornithology, 79(3), 314-320.",https://doi.org/10.1111/j.1557-9263.2008.00179.xx,https://drive.google.com/file/d/11hAyJ2zpIIWW6ppjD-9wEyMIpF9TSUOf/view?usp=sharing,2,2 - Needs converting from category metric,No,NA,NA,NA,NA,NA,"Abundance? (data is not in a good format for this- possibly use the basic % captured in each), Richness - continuous?",-,Birds,NA,USA,Young-regrowth,Sampling combined across the year,Temperate forest,100,5,43.327222,-77.718056,2000,2006,"Seasonality of vegetation structure, niche partitioning","Seasonal vertical shifts, species and guild specific data",NA
1,Brosset_1996,1996,1,"Brosset, A., Charles-Dominique, P., Cockle, A., Cosson, J. F., & Masson, D. (1996). Bat communities and deforestation in French Guiana. Canadian Journal of Zoology, 74(11), 1974-1982.",NA,https://drive.google.com/file/d/17udzZrNji-5bmB7c4Fbe0x65HdoWC-P-/view?usp=sharing,1,NA,Yes,NA,366,2,2,5,Abundance (Table 2),Mist nets,Bats,Americas,French Guiana,Unlogged,Unknown,Lowland rainforest,30,30,5.342922,-53.038439,Unknown,Unknown,"Food, foraging strategy","Regrowth vs primary, guild/species data",ECEREX
2,Brosset_1996,1996,1,"Brosset, A., Charles-Dominique, P., Cockle, A., Cosson, J. F., & Masson, D. (1996). Bat communities and deforestation in French Guiana. Canadian Journal of Zoology, 74(11), 1974-1982.",NA,https://drive.google.com/file/d/17udzZrNji-5bmB7c4Fbe0x65HdoWC-P-/view?usp=sharing,1,NA,Yes,NA,590,2,2,5,Abundance (Table 2),Mist nets,Bats,Americas,French Guiana,Unlogged,Unknown,Lowland rainforest,100,30,4.137033,-52.942917,Unknown,Unknown,"Food, foraging strategy","Regrowth vs primary, guild/species data",Nouragues
3,Brosset_1996,1996,NA,"Brosset, A., Charles-Dominique, P., Cockle, A., Cosson, J. F., & Masson, D. (1996). Bat communities and deforestation in French Guiana. Canadian Journal of Zoology, 74(11), 1974-1982.",NA,https://drive.google.com/file/d/17udzZrNji-5bmB7c4Fbe0x65HdoWC-P-/view?usp=sharing,1,NA,Yes,NA,450,NA,NA,NA,Abundance (Table 2),Mist nets,Bats,SA,French Guiana,Regrowth,Unknown,Lowland rainforest,25,20,5.396344,-53.048411,Unknown,Unknown,"Food, foraging strategy","Regrowth vs primary, guild/species data",ARBOCEL
1,Buchanan-Smith_2000,2000,1,"Buchanan-Smith, H. M., Hardie, S. M., Caceres, C., & Prescott, M. J. (2000). Distribution and forest utilization of Saguinus and other primates of the Pando Department, northern Bolivia. International Journal of Primatology, 21(3), 353-379.",NA,https://drive.google.com/file/d/1-h4_cFTy9aOJzXMhnMpigxS6e9IOfClH/view?usp=sharing,2,2 - Needs converting from species ranges,Yes,12,2277,5,2,2,Richness,Human observation,Primates,Americas,Bolivia,Multiple regrowth stages,Dry,Lowland rainforest,300,20,-11.55,-69.116667,1997-06-01,1997-10-01,"Forest structure, species interactions","Species specific data, body size, successionaal forests",NA
