mean_height,sd,range_min,range_max
9.7,7,0,23.42
0,0,0,0
1,0,1,1
10,1,8.04,11.96
5,7.1,0,18.916
10,0,10,10
11,1.4,8.256,13.744
5.5,3.2,0,11.772
8,0,8,8
5,2.9,0,10.684
3.5,2.1,0,7.616
2,0,2,2
8.1,4.4,0,16.724
12,0,12,12
2,0,2,2
7,2.9,1.316,12.684
12,0,12,12
13,5.3,2.612,23.388
1.5,0,1.5,1.5
9.2,6.6,0,22.136
8,0,8,8
8,0,8,8
12,1,10.04,13.96
11.5,5,1.7,21.3
6,0,6,6
11.5,9.2,0,29.532
7.3,4.8,0,16.708
0,0,0,0
6.5,2.3,1.992,11.008
13.7,6.6,0.764,26.636
8,7,0,21.72
16,0,16,16
12,0,12,12
12,8.5,0,28.66
5.5,3.5,0,12.36
3.5,3.5,0,10.36
22,0,22,22
16,0,16,16
10,4.9,0.396,19.604
12.5,10.6,0,33.276
12.2,6.9,0,25.724
14.7,3.4,8.036,21.364
10,0,10,10
7.7,5.5,0,18.48
13.3,4.7,4.088,22.512
18,0,18,18
0,0,0,0
13.8,4.7,4.588,23.012
18.5,3.5,11.64,25.36
9.67,7.2,0,23.782
12.5,6.9,0,26.024
7.2,6.4,0,19.744
5.3,4.2,0,13.532
8,0,8,8
