mean_height,sd,range_min,range_max,n
0.73,0.07,0.5928,0.8672,5
0.76,0.05,0.662,0.858,14
0.74,0.09,0.5636,0.9164,5
0.74,0.04,0.6616,0.8184,10
0.46,0.06,0.3424,0.5776,15
0.81,0.07,0.6728,0.9472,5
0.75,0.07,0.6128,0.8872,5
0.78,0.03,0.7212,0.8388,73
0.74,0.04,0.6616,0.8184,20
0.75,0.06,0.6324,0.8676,24
0.83,0.04,0.7516,0.9084,21
0.83,0.02,0.7908,0.8692,23
0.88,0.02,0.8408,0.9192,17
0.89,0.04,0.8116,0.9684,5
0.39,0.05,0.292,0.488,18
0.99,0.01,0.9704,1,14
0.79,0.05,0.692,0.888,4
0.68,0.04,0.6016,0.7584,23
0.68,0.09,0.5036,0.8564,9
0.42,0.06,0.3024,0.5376,20
0.69,0.04,0.6116,0.7684,9
0.77,0.05,0.672,0.868,16
0.97,0.02,0.9308,1,5
0.9,0.02,0.8608,0.9392,7
0.96,0.02,0.9208,0.9992,12
0.92,0.02,0.8808,0.9592,11
0.15,0.04,0.0716,0.2284,17
0.43,0.08,0.2732,0.5868,14
0.51,0.07,0.3728,0.6472,16
0.04,0.02,0.0008,0.0792,9
0.89,0.02,0.8508,0.9292,9
0.69,0.12,0.4548,0.9252,5
0.94,0.01,0.9204,0.9596,6
0.94,0.01,0.9204,0.9596,14
0.87,0.04,0.7916,0.9484,5
0.85,0.04,0.7716,0.9284,8
0.4,0.11,0.1844,0.6156,5
0.9,0.03,0.8412,0.9588,7
0.41,0.11,0.1944,0.6256,7
0.31,0.07,0.1728,0.4472,7
0.99,0.01,0.9704,1,6
0.96,0.03,0.9012,1,8
0.98,0.01,0.9604,0.9996,8
0.8,0.04,0.7216,0.8784,8
0.87,0.06,0.7524,0.9876,6
0.74,0.06,0.6224,0.8576,11
0.91,0.04,0.8316,0.9884,8
0.99,0.01,0.9704,1,16
0.47,0.09,0.2936,0.6464,5
0.88,0.03,0.8212,0.9388,7
0.95,0.01,0.9304,0.9696,14
0.87,0.06,0.7524,0.9876,7
0.3,0.04,0.2216,0.3784,16
0.48,0.03,0.4212,0.5388,46
0.14,0.02,0.1008,0.1792,5
0.46,0.09,0.2836,0.6364,5
0.13,0.03,0.0712,0.1888,6
0.52,0.05,0.422,0.618,15
0.62,0.04,0.5416,0.6984,20
0.27,0.02,0.2308,0.3092,47
0.04,0.01,0.0204,0.0596,10
0.08,0.01,0.0604,0.0996,8
0.27,0.02,0.2308,0.3092,41
0.1,0.02,0.0608,0.1392,6
0.35,0.05,0.252,0.448,17
0.83,0.02,0.7908,0.8692,16
0.08,0.02,0.0408,0.1192,4
0.07,0.01,0.0504,0.0896,10
0.11,0.04,0.0316,0.1884,5
0.23,0.08,0.0732,0.3868,5
0.47,0.07,0.3328,0.6072,13
0.38,0.05,0.282,0.478,17
0,0,0,0,7
0.91,0.01,0.8904,0.9296,21
0.78,0.03,0.7212,0.8388,6
0.13,0.05,0.032,0.228,10
0.88,0.02,0.8408,0.9192,16
0.87,0.01,0.8504,0.8896,93
0.84,0.02,0.8008,0.8792,57
0.83,0.05,0.732,0.928,14
0.93,0.02,0.8908,0.9692,13
0.93,0.02,0.8908,0.9692,19
0.97,0.01,0.9504,0.9896,17
0.9,0.01,0.8804,0.9196,64
0.9,0.02,0.8608,0.9392,18
0.89,0.01,0.8704,0.9096,56
0.68,0.05,0.582,0.778,15
0.35,0.2,0,0.742,5
0.94,0.01,0.9204,0.9596,12
0.91,0.03,0.8512,0.9688,27
0.82,0.03,0.7612,0.8788,29
0.95,0.02,0.9108,0.9892,9
